Phage_cluster_6093	virion structural protein
Phage_cluster_6167	putative trimeric spike protein
Phage_cluster_6584	minor virion protein
Phage_cluster_5847	virion structural protein
Phage_cluster_6586	virion structural protein
Phage_cluster_5315	phage portal protein, HK97 family
Phage_cluster_6298	putative minor capsid protein 1
Phage_cluster_6074	tail protein
Phage_cluster_5298	portal protein
Phage_cluster_6386	minor coat protein
Phage_cluster_5509	major tail protein
Phage_cluster_6787	tail baseplate
Phage_cluster_5317	major capsid protein gp5
Phage_cluster_5852	main tail protein
Phage_cluster_6800	putative virion structural protein
Phage_cluster_5576	putative terminase large subunit
Phage_cluster_6067	capsid portal protein
Phage_cluster_6166	putative pentameric base spike protein
Phage_cluster_5853	putative tail component
Phage_cluster_6069	putative phage tail component
Phage_cluster_5742	putative tail protein
Phage_cluster_5427	phage portal protein SPP1
Phage_cluster_6593	virion structural protein
Phage_cluster_6096	virion structural protein
Phage_cluster_5740	virion structural protein
Phage_cluster_5964	tail protein gpT-like protein
Phage_cluster_8675	putative capsid protein VP18
Phage_cluster_7970	capsid protein gpD
Phage_cluster_8999	virion structural protein
Phage_cluster_8013	virion structural protein
Phage_cluster_6872	putative portal protein
Phage_cluster_8522	major coat protein
Phage_cluster_7981	portal
Phage_cluster_7095	P22 coat protein
Phage_cluster_9036	virion structural protein
Phage_cluster_8746	putative terminase
Phage_cluster_6973	capsid
Phage_cluster_7995	tail sheath
Phage_cluster_7265	portal protein
Phage_cluster_8011	putative major capsid protein
Phage_cluster_7952	capsid protein gpE
Phage_cluster_9579	portal protein
Phage_cluster_6978	terminase
Phage_cluster_7854	putative portal protein
Phage_cluster_7042	tail tubular protein A
Phage_cluster_8658	capsid protein VP12
Phage_cluster_6900	putative capsid protein
Phage_cluster_8016	putative virion structural protein 18
Phage_cluster_8663	capsid protein VP5
Phage_cluster_8432	putative portal protein
Phage_cluster_7769	putative capsid protein, major protein 2 (MP2)
Phage_cluster_7410	major tail subunit
Phage_cluster_9717	phage tail protein
Phage_cluster_7770	putative phage capsid protein
Phage_cluster_8867	major capsid protein
Phage_cluster_9582	major capsid protein
Phage_cluster_7739	putative major capsid protein
Phage_cluster_7091	tail protein
Phage_cluster_7456	baseplate tail tube cap
Phage_cluster_6851	terminase subunit
Phage_cluster_7744	putative major tail protein
Phage_cluster_7317	tail protein
Phage_cluster_6920	portal protein
Phage_cluster_8818	major coat protein
Phage_cluster_8842	gp20, phage Tail Protein X
Phage_cluster_8992	gp19 tail tube protein III
Phage_cluster_7856	major tail shaft protein
Phage_cluster_9660	capsid protein
Phage_cluster_8340	tail component protein
Phage_cluster_7311	minor virion protein
Phage_cluster_7046	phage coat protein
Phage_cluster_8007	virion structural protein
Phage_cluster_8704	tail protein
Phage_cluster_7980	DNA encapsidation protein
Phage_cluster_6884	major capsid protein
Phage_cluster_8811	terminase
Phage_cluster_6852	portal protein
Phage_cluster_7620	fiber tail protein
Phage_cluster_6877	virion structural protein
Phage_cluster_8662	capsid protein VP2
Phage_cluster_7044	putative major capsid protein
Phage_cluster_6908	minor capsid protein
Phage_cluster_8659	capsid protein VP7
Phage_cluster_8433	major virion structural protein
Phage_cluster_8652	capsid protein VP1
Phage_cluster_7464	phage major capsid protein
Phage_cluster_8565	putative tail tube protein
Phage_cluster_8820	putative minor coat protein
Phage_cluster_7619	major tail protein a
Phage_cluster_8851	virion structural protein
Phage_cluster_7043	capsid protein
Phage_cluster_7984	putative minor capsid protein
Phage_cluster_6923	terminase
Phage_cluster_6873	putative capsid protein
Phage_cluster_7316	gp14, phage major tail tube protein
Phage_cluster_9000	virion structural protein
Phage_cluster_6979	putative portal protein
Phage_cluster_7855	major capsid protein
Phage_cluster_6901	putative terminase
Phage_cluster_8096	major capsid protein
Phage_cluster_8998	virion structural protein
Phage_cluster_6886	putative tail component
Phage_cluster_7772	putative capsid protein, major protein 1 (MP1)
Phage_cluster_7860	minor coat protein
Phage_cluster_8005	putative virion structural protein 1
Phage_cluster_8664	capsid protein VP10
Phage_cluster_7328	putative tail component
Phage_cluster_7785	major capsid protein
Phage_cluster_8731	tail tube protein
Phage_cluster_8546	portal protein
Phage_cluster_7041	tail tube B
Phage_cluster_9664	putative virion structural protein
Phage_cluster_7737	putative portal protein
Phage_cluster_7709	putative portal protein
Phage_cluster_6982	coat protein
Phage_cluster_8730	putative tail tube protein
Phage_cluster_7994	virion structural protein
Phage_cluster_7787	virion protein
Phage_cluster_8516	minor capsid protein
Phage_cluster_7326	putative major tail protein
Phage_cluster_8008	virion structural protein
Phage_cluster_8183	putative major tail protein
Phage_cluster_7996	major virion structural protein
Phage_cluster_7873	portal protein
Phage_cluster_7789	virion protein
Phage_cluster_7741	putative phage tail protein
Phage_cluster_8660	capsid protein VP4
Phage_cluster_6964	virion protein
Phage_cluster_7047	tail protein T
Phage_cluster_6876	tail protein
Phage_cluster_8051	major capsid protein
