Phage_cluster_7	intein-containing putative terminase large subunit precursor
Phage_cluster_6420	putative phage terminase large subunit
Phage_cluster_7327	major capsid protein
Phage_cluster_5996	terminase, large subunit
Phage_cluster_7692	virion structural protein
Phage_cluster_6218	phage tail protein
Phage_cluster_7227	capsid protein
Phage_cluster_7134	phage structural protein
Phage_cluster_7216	putative major tail protein
Phage_cluster_6807	phage capsid protein
Phage_cluster_7520	phage virion structural protein
Phage_cluster_6447	putative portal protein
Phage_cluster_7753	putative virion structural protein 11
Phage_cluster_6601	phage portal protein
Phage_cluster_6665	possible phage tail protein
Phage_cluster_6608	major tail protein
Phage_cluster_7243	portal protein
Phage_cluster_6158	putative portal protein
Phage_cluster_6137	putative portal protein
Phage_cluster_7540	portal protein
Phage_cluster_6417	putative tail protein
Phage_cluster_6513	putative minor capsid protein 2
Phage_cluster_7370	major tail protein
Phage_cluster_7330	virion structural protein
Phage_cluster_6598	minor capsid protein
Phage_cluster_7279	Major capsid protein
Phage_cluster_8917	capsid protein gpE
Phage_cluster_8795	minor capsid protein
Phage_cluster_10265	putative minor capsid protein
Phage_cluster_8558	major capsid protein
Phage_cluster_8838	putative tail component
Phage_cluster_10037	virion structural protein
Phage_cluster_8765	putative major tail protein
Phage_cluster_9590	putative structural protein
Phage_cluster_9344	putative major capsid protein
Phage_cluster_10510	putative minor capsid protein
Phage_cluster_8992	putative tail protein
Phage_cluster_8840	main tail protein
Phage_cluster_10040	virion structural protein
Phage_cluster_8855	portal protein
Phage_cluster_10114	terminase
Phage_cluster_8862	minor capsid protein
Phage_cluster_9777	putative minor coat protein
Phage_cluster_8880	major capsid protein
Phage_cluster_8697	putative tail tubular A protein
Phage_cluster_8853	putative portal protein
Phage_cluster_8394	putative phage tail protein
Phage_cluster_9619	putative tail tube protein
Phage_cluster_10120	putative trimeric spike protein
Phage_cluster_9949	G III capsid protein precursor
Phage_cluster_9639	putative major tail protein
Phage_cluster_7956	probable terminase
Phage_cluster_9773	putative tail protein
Phage_cluster_8856	major tail protein
Phage_cluster_9888	phage structural protein
Phage_cluster_8966	minor capsid protein
Phage_cluster_8591	putative major capsid protein
Phage_cluster_10193	putative coat protein
Phage_cluster_10039	phage virion structural protein
Phage_cluster_10027	putative portal protein
Phage_cluster_9766	virion structural protein
Phage_cluster_8859	putative major capsid protein
Phage_cluster_9618	tail sheath
Phage_cluster_8741	putative phage tail protein
Phage_cluster_10422	virion structural protein
Phage_cluster_10049	major capsid protein
Phage_cluster_9769	virion structural protein
Phage_cluster_9117	portal protein
Phage_cluster_10205	putative minor capsid protein 1
Phage_cluster_9592	putative structural protein
Phage_cluster_10355	terminase
Phage_cluster_10010	tail tube
Phage_cluster_8120	portal protein
Phage_cluster_8370	putative terminase large subunit
Phage_cluster_9966	major tail subunit
Phage_cluster_9882	putative tail component
Phage_cluster_10561	putative virion structural protein 14
Phage_cluster_8908	putative portal protein
Phage_cluster_10119	putative pentameric base spike protein
Phage_cluster_8487	portal
Phage_cluster_10258	capsid protein
Phage_cluster_10118	putative major capsid protein
Phage_cluster_9125	putative portal protein
Phage_cluster_10556	tail baseplate
Phage_cluster_9767	virion structural protein
Phage_cluster_7766	putative major capsid
Phage_cluster_10043	virion structural protein
Phage_cluster_13652	coat protein
Phage_cluster_12203	putative portal protein
Phage_cluster_15418	putative tail protein
Phage_cluster_11851	putative tail tube protein 2
Phage_cluster_14380	tail sheath
Phage_cluster_13256	putative major capsid protein
Phage_cluster_14495	putative major tail protein
Phage_cluster_13511	virion structural protein
Phage_cluster_11451	phage tail protein
Phage_cluster_12116	major tail protein
Phage_cluster_13243	portal protein
Phage_cluster_14756	minor capsid protein
Phage_cluster_14847	capsid protein VP2
Phage_cluster_14106	phage structural protein
Phage_cluster_12410	capsid protein gpE
Phage_cluster_14237	minor coat protein
Phage_cluster_13683	tail protein
Phage_cluster_14886	tail protein
Phage_cluster_10659	large terminase subunit
Phage_cluster_11188	putative terminase
Phage_cluster_10961	baseplate tail tube cap
Phage_cluster_11549	fiber tail protein
Phage_cluster_14381	putative virion structural protein
Phage_cluster_11418	putative tail tube protein (T4 gp19-like)
Phage_cluster_10594	putative capsid protein
Phage_cluster_15634	putative virion structural protein 11
Phage_cluster_11653	tail protein
Phage_cluster_12438	putative phage tail sheath protein
Phage_cluster_14370	putative minor capsid protein
Phage_cluster_14848	capsid protein VP5
Phage_cluster_11397	virion structural protein
Phage_cluster_14916	tail tube protein
Phage_cluster_13972	Putative tail protein
Phage_cluster_15630	capsid protein
Phage_cluster_11705	tail sheath
Phage_cluster_15163	virion structural protein
Phage_cluster_12049	putative portal protein
Phage_cluster_14838	capsid protein VP1
Phage_cluster_11321	virion structural protein
Phage_cluster_14397	virion structural protein
Phage_cluster_14845	capsid protein VP4
Phage_cluster_14401	putative virion structural protein 18
Phage_cluster_14860	putative capsid protein VP18
Phage_cluster_14067	baseplate hub subunit
Phage_cluster_11412	major capsid subunit precursor
Phage_cluster_14931	putative terminase
Phage_cluster_11012	virion structural protein
Phage_cluster_15162	virion structural protein
Phage_cluster_14363	capsid protein gpD
Phage_cluster_13524	virion structural protein
Phage_cluster_10828	phage structural protein
Phage_cluster_14849	capsid protein VP10
Phage_cluster_14392	virion structural protein
Phage_cluster_14389	putative virion structural protein 1
Phage_cluster_14936	virion structural protein
Phage_cluster_14844	capsid protein VP12
Phage_cluster_12038	bacteriophage tail protein gpT
Phage_cluster_14391	phage virion structural protein
Phage_cluster_14950	virion structural protein
Phage_cluster_13555	putative capsid protein
Phage_cluster_13770	putative phage terminase large subunit
Phage_cluster_15024	virion structural protein
Phage_cluster_11869	putative encapsidation protein
Phage_cluster_14235	major tail shaft protein
Phage_cluster_15158	gp19 tail tube protein III
Phage_cluster_13424	virion structural protein
Phage_cluster_13559	tail tube
Phage_cluster_12005	putative tail protein
Phage_cluster_14598	tail tube protein
Phage_cluster_14379	virion structural protein
Phage_cluster_14591	major capsid protein
Phage_cluster_13393	virion structural protein
Phage_cluster_14020	major tail subunit
Phage_cluster_14395	putative major capsid protein
Phage_cluster_14390	phage virion structural protein
Phage_cluster_11552	tail protein
Phage_cluster_14915	putative tail tube protein
gi_117530262_ref_YP_851105.1_	putative phage tail sheath protein
gi_118430715_ref_YP_863924.1_	major coat protein
gi_118430719_ref_YP_863928.1_	putative minor coat protein
gi_11863102_ref_NP_071819.1_	putative portal protein
gi_11863113_ref_NP_071830.1_	putative tail protein
gi_126010870_ref_YP_001039840.1_	putative tail tube protein
gi_126010913_ref_YP_001039839.1_	major tail sheath protein
gi_126010914_ref_YP_001039831.1_	phage tail protein I
gi_126011096_ref_YP_001039921.1_	putative portal protein
gi_13449258_ref_NP_085472.1_	coat protein
gi_148750840_ref_YP_001285883.1_	major capsid protein gp34
gi_15320619_ref_NP_203463.1_	major virion structural protein
gi_15320627_ref_NP_203471.1_	virion structural protein
gi_156564064_ref_YP_001429807.1_	major virion structural protein
gi_156564094_ref_YP_001429603.1_	virion structural protein
gi_156564095_ref_YP_001429604.1_	virion structural protein
gi_156564097_ref_YP_001429606.1_	virion structural protein
gi_156564100_ref_YP_001429609.1_	candidate for curly fiber subunit based on high copy number in virion
gi_156564105_ref_YP_001429615.1_	major virion structural protein
gi_156564108_ref_YP_001429618.1_	virion structural protein
gi_156564110_ref_YP_001429620.1_	major virion structural protein
gi_156564111_ref_YP_001429621.1_	virion structural protein
gi_156564112_ref_YP_001429622.1_	major virion structural protein
gi_156564113_ref_YP_001429623.1_	virion structural protein
gi_156564115_ref_YP_001429625.1_	virion structural protein
gi_156564116_ref_YP_001429626.1_	virion structural protein
gi_156564117_ref_YP_001429627.1_	virion structural protein
gi_156564118_ref_YP_001429628.1_	tail sheath paralog
gi_156564119_ref_YP_001429629.1_	virion structural protein
gi_156564120_ref_YP_001429630.1_	tail sheath subunit
gi_156564122_ref_YP_001429632.1_	virion structural protein
gi_156564123_ref_YP_001429633.1_	virion structural protein
gi_156564126_ref_YP_001429636.1_	virion structural protein
gi_156564134_ref_YP_001429644.1_	virion structural protein
gi_156564137_ref_YP_001429647.1_	virion structural protein
gi_156564138_ref_YP_001429648.1_	virion structural protein
gi_156564142_ref_YP_001429652.1_	virion structural protein
gi_156564145_ref_YP_001429655.1_	virion structural protein
gi_156564146_ref_YP_001429656.1_	virion structural protein
gi_156564147_ref_YP_001429657.1_	virion structural protein
gi_156564148_ref_YP_001429658.1_	virion structural protein
gi_156564149_ref_YP_001429659.1_	virion structural protein
gi_156564152_ref_YP_001429662.1_	virion structural protein
gi_156564155_ref_YP_001429665.1_	virion structural protein
gi_156564156_ref_YP_001429666.1_	virion structural protein
gi_156564180_ref_YP_001429690.1_	virion structural protein
gi_156603995_ref_YP_001429941.1_	portal protein
gi_157168385_ref_YP_001456742.1_	gp12, major tail protein
gi_157265381_ref_YP_001467940.1_	capsid scaffolding protein
gi_157265498_ref_YP_001468056.1_	capsid scaffolding protein
gi_157310937_ref_YP_001468933.1_	putative minor capsid protein
gi_167832357_ref_YP_001686748.1_	putative tail protein
gi_167832365_ref_YP_001686756.1_	major tail sheath protein
gi_167832366_ref_YP_001686757.1_	putative tail tube protein
gi_168983486_ref_YP_001687526.1_	tail protein
gi_17426221_ref_NP_510888.1_	minor coat protein
gi_17426222_ref_NP_510889.1_	minor coat protein
gi_17426223_ref_NP_510890.1_	major coat protein
gi_17975746_ref_NP_536675.1_	A coat protein
gi_17975747_ref_NP_536674.1_	B coat protein
gi_189490207_ref_YP_001956773.1_	virion structural protein
gi_189490208_ref_YP_001956774.1_	virion structural protein
gi_189490301_ref_YP_001956869.1_	virion structural protein
gi_189490302_ref_YP_001956870.1_	virion structural protein
gi_189490304_ref_YP_001956872.1_	virion structural protein
gi_189490309_ref_YP_001956877.1_	virion structural protein
gi_189490310_ref_YP_001956878.1_	virion structural protein
gi_189490314_ref_YP_001956882.1_	virion structural protein
gi_189490315_ref_YP_001956883.1_	virion structural protein
gi_189490349_ref_YP_001956917.1_	virion structural protein
gi_189490354_ref_YP_001956922.1_	virion structural protein
gi_189490355_ref_YP_001956923.1_	major capsid protein
gi_189490366_ref_YP_001956934.1_	virion structural protein
gi_189490367_ref_YP_001956935.1_	virion structural protein
gi_189490370_ref_YP_001956938.1_	virion structural protein
gi_189490381_ref_YP_001956949.1_	virion structural protein
gi_189490382_ref_YP_001956950.1_	virion structural protein
gi_189490383_ref_YP_001956951.1_	virion structural protein
gi_189490393_ref_YP_001956961.1_	virion structural protein
gi_189490400_ref_YP_001956969.1_	virion structural protein
gi_189490401_ref_YP_001956970.1_	virion structural protein
gi_189490533_ref_YP_001957103.1_	virion structural protein
gi_189490588_ref_YP_001957158.1_	virion structural protein
gi_189490589_ref_YP_001957159.1_	virion structural protein
gi_189490604_ref_YP_001957174.1_	virion structural protein
gi_197085648_ref_YP_002128468.1_	gp34 virion protein
gi_197085649_ref_YP_002128469.1_	gp35 virion protein
gi_19718354_ref_NP_604425.1_	Putative coat protein
gi_198449293_ref_YP_002221447.1_	putative capsid protein
gi_208429879_ref_YP_002265432.1_	tail protein
gi_209901240_ref_YP_002290879.1_	putative portal protein
gi_211956457_ref_YP_002302523.1_	capsid protein
gi_211956469_ref_YP_002302535.1_	minor capsid protein
gi_213163914_ref_YP_002321466.1_	putative tail protein a
gi_213163918_ref_YP_002321470.1_	putative tail protein b
gi_213163920_ref_YP_002321472.1_	putative tail protein c
gi_219563205_ref_YP_002455797.1_	major tail protein
gi_219563206_ref_YP_002455798.1_	tail protein
gi_22091113_ref_NP_665927.1_	capsid protein gpB
gi_22091122_ref_NP_665936.1_	capsid protein CP67
gi_22091123_ref_NP_665937.1_	capsid protein gpA/H
gi_225626387_ref_YP_002727882.1_	major tail protein
gi_22855194_ref_NP_690807.1_	P8 nucleocapsid shell protein
gi_22855205_ref_NP_690816.1_	P7 procapsid protein
gi_22855208_ref_NP_690819.1_	P1 procapsid protein
gi_22855217_ref_NP_690826.1_	nucleocapsid protein P8
gi_23455809_ref_NP_695160.1_	minor capsid protein
gi_23455814_ref_NP_695155.1_	minor capsid protein
gi_23455815_ref_NP_695154.1_	minor capsid protein
gi_26114635_ref_NP_752644.1_	major coat protein
gi_281199684_ref_YP_003335788.1_	tail tube protein
gi_281306686_ref_YP_003345492.1_	predicted phage virion structural protein
gi_28876176_ref_NP_795403.1_	portal protein
gi_29789897_ref_NP_821153.1_	major tail protein b
gi_30089902_ref_NP_839932.1_	putative tail component
gi_311993176_ref_YP_004010042.1_	head outer capsid protein
gi_326424989_ref_YP_004286211.1_	virion structural protein
gi_326425000_ref_YP_004286222.1_	virion structural protein
gi_326784073_ref_YP_004324466.1_	virion structural protein
gi_327198121_ref_YP_004306651.1_	major tail protein
gi_327198367_ref_YP_004306941.1_	putative tail protein
gi_327198631_ref_YP_004327582.1_	putative minor coat protein
gi_327198632_ref_YP_004327583.1_	putative major coat protein
gi_327198633_ref_YP_004327584.1_	putative minor coat protein
gi_327198634_ref_YP_004327585.1_	putative minor coat protein
gi_34419579_ref_NP_899592.1_	baseplate wedge subunit and tail pin
gi_358356859_ref_YP_004934710.1_	putative major capsid protein
gi_371496206_ref_YP_004957354.1_	virion structural protein
gi_371671370_ref_YP_004957908.1_	putative tail tube
gi_371671371_ref_YP_004957909.1_	putative major tailsheath
gi_371671372_ref_YP_004957910.1_	putative virion structural protein
gi_371671379_ref_YP_004957917.1_	putative virion structural protein
gi_371671423_ref_YP_004957961.1_	putative virion structural protein
gi_371671425_ref_YP_004957963.1_	putative virion structural protein
gi_371671432_ref_YP_004957970.1_	putative virion structural protein
gi_371671458_ref_YP_004957996.1_	putative virion structural protein
gi_371671460_ref_YP_004957998.1_	putative virion structural protein
gi_371671469_ref_YP_004958007.1_	putative virion structural protein
gi_371671470_ref_YP_004958008.1_	putative virion structural protein
gi_371671471_ref_YP_004958009.1_	putative virion structural protein
gi_371671475_ref_YP_004958013.1_	putative minor virion structural protein
